NAME,STATE_UT,Coal_OpenCast,Coal_BelowGround,TOT_AREA,TOT_POP,M_POP,F_POP,TOT_LIT,M_LIT,F_LIT,TOT_W,M_W,F_W,TOT_CULT,TOT_AGLB,TOT_NNW,R_TOT_POP,R_TOT_LIT,U_TOT_POP,U_TOT_LIT,ID
Chamoli,Uttranchal,0,0,7614,370359,0.496126731,0.503873269,0.640875475,0.756123976,0.527398802,0.444781955,0.44904079,0.440588595,0.158691972,0.001328441,0.555218045,0.863097697,0.619619216,0.136902303,0.774885115,2603
Dehradun,Uttranchal,0,0,3088,1282143,0.530036821,0.469963179,0.683575077,0.743660451,0.615809214,0.312348155,0.477829787,0.125713622,0.048059382,0.009183843,0.687651845,0.470619112,0.595695068,0.529380888,0.761700322,2605
Sirmaur,Himachal Pradesh,0,0,2825,458593,0.526172445,0.473827555,0.598881797,0.677230324,0.511877917,0.492532594,0.563736277,0.413462866,0.260764992,0.006051117,0.507467406,0.896051619,0.57859745,0.103948381,0.773736102,910
Ludhiana,Punjab,0,0,3767,3032831,0.548238923,0.451761077,0.671411628,0.703977107,0.631891484,0.379064313,0.55550136,0.164947468,0.043235512,0.024900168,0.620935687,0.441560377,0.636497165,0.558439623,0.69901863,2110
Panchkula,Haryana,0,0,898,468411,0.548533233,0.451466767,0.635755779,0.695075485,0.56368219,0.381383016,0.545355123,0.182156503,0.045206026,0.011605193,0.618616984,0.55510225,0.563784536,0.44489775,0.725554836,813
Fatehgarh Sahib,Punjab,0,0,1180,538041,0.539247009,0.460752991,0.645608792,0.681353981,0.603774042,0.383128795,0.549299124,0.188649639,0.082168459,0.036246308,0.616871205,0.719183111,0.625566611,0.280816889,0.696937607,2104
Tehri Garhwal,Uttranchal,0,0,4080,604747,0.4880851,0.5119149,0.558607153,0.705533798,0.41851999,0.437728505,0.450645056,0.425413222,0.188569766,0.002493605,0.562271495,0.901039608,0.536523148,0.098960392,0.759683187,2611
Faridkot,Punjab,0,0,1469,550892,0.531131329,0.468868671,0.536616978,0.586713421,0.479868058,0.380753396,0.535181616,0.205818131,0.089346006,0.061852414,0.619246604,0.648622598,0.480517518,0.351377402,0.640173373,2103
Rudraprayag,Uttranchal,0,0,1891,227439,0.472808094,0.527191906,0.620289396,0.744687776,0.508723646,0.448616992,0.423155252,0.471452162,0.243814825,0.000962896,0.551383008,0.987987988,0.618881477,0.012012012,0.736090776,2610
Chandigarh,Chandigarh,0,0,114,900635,0.56286731,0.43713269,0.71421275,0.754897049,0.661826227,0.377979981,0.561052831,0.142248988,0.00199748,0.000494096,0.622020019,0.102283389,0.637537994,0.897716611,0.722948863,3001
